abu+as\9ed+32.574+s	8827	3024	0.709	0.794	4487	4010	0.423	-0.626
abu+brS+46.428+S	7538	2848	1.517	3.404	3890	3427	0.410	-0.108
abu+m\9eslh+50.617+s	7661	2410	1.332	3.143	5149	3236	-0.175	-0.127
abu+alnaSrh+53.607+S	8112	2910	0.792	0.696	1750	3113	1.712	2.158
abu+syf+55.309+s	8278	2833	0.851	0.958	5829	3245	0.026	0.429
abu+n\D-afh+57.124+\D-	1316	3714	4.061	15.463	200	260	38.710	2477.065
abu+zhwr+58.784+z	5423	2783	0.727	4.132	530	1373	4.008	17.703
abu+jrs+61.004+s	7331	2963	1.909	4.806	3556	3342	0.558	0.290
abu+anfSal+62.684+S	6650	2458	1.954	5.975	3868	2979	0.173	-0.037
abu+ant\D-am+64.400+\D-	6025	7954	0.864	-1.006	160	396	39.833	1782.270
abu+fDwl+65.873+D	4506	6980	1.290	0.025	166	389	37.792	1639.200
abu+msa\9edh+67.538+s	6929	2808	1.751	5.016	2199	2982	1.164	1.018
abu+awtwbys+71.157+s	7382	2496	1.783	6.299	4343	3307	0.118	-0.293
abu+mS\9ed+77.048+S	7812	2643	0.898	1.036	5127	3254	0.018	-0.094
abu+Samt+87.024+S	7156	2098	2.096	6.962	5833	2393	-0.494	2.803
abu+stwr+132.435+s	7852	2870	1.460	3.198	5557	3061	0.113	1.253
abu+sdyd+134.204+s	8180	2709	0.811	1.207	5841	3171	-0.033	0.375
abu+sdyd+134.481+d	2042	4621	2.686	6.187	189	297	40.274	2094.549
abu+Sdf+138.531+S	6319	1789	3.529	19.233	5041	2279	-0.732	2.610
abu+Sdf+138.740+d	994	2684	4.451	21.202	190	200	39.241	2459.856
abu+nDyf+140.255+D	2005	3866	2.714	7.434	230	374	21.604	714.594
abu+nDyf+144.480+D	3170	4993	1.521	1.082	35	64	127.073	24783.635
abu+w\D-yfh+158.093+\D-	1722	3519	2.952	8.567	241	355	21.020	705.510
abu+bsaTh+161.801+s	8328	2916	0.644	0.265	4230	3779	0.409	-0.592
abu+mtwaSl+170.266+S	8065	2564	0.574	0.247	5665	3204	-0.122	-0.051
abu+sTwr+171.224+s	7178	2389	1.410	3.592	4627	3074	-0.054	-0.101
abu+mSwl+175.158+S	7144	2583	1.284	2.936	5304	2565	0.221	1.664
abu+slTh+193.778+s	7752	2758	0.825	0.684	5709	2815	0.193	1.110
abu+smwT+195.170+s	8329	3197	1.422	2.201	5794	3296	0.233	1.362
abu+smwt+200.215+s	7060	2418	1.607	4.201	5484	2437	0.027	2.363
abu+naDr+207.977+D	2687	5645	2.204	3.293	147	228	58.735	4368.321
abu+nDrh+211.174+D	9908	5002	-0.029	-0.297	113	709	16.188	301.173
abu+nDrh+213.336+D	4650	5346	1.119	0.576	175	445	21.599	603.138
abu+Syf+222.220+S	9175	2674	0.576	0.757	6181	3890	-0.197	-0.555
abu+SbHh+224.877+S	8647	2853	0.690	0.802	4451	3949	0.351	-0.753
abu+SbHh+233.414+S	7782	3181	1.172	1.586	3582	3486	0.700	0.216
abu+n\D-yf+238.461+\D-	1864	4026	2.799	7.290	161	233	39.901	2316.709
abu+m\9eSm+241.242+S	8243	2576	0.668	1.398	4008	3781	0.411	-0.901
abu+mwa\D-bh+243.422+\D-	739	1894	6.667	50.082	273	237	21.479	1103.824
abu+Sdyd+251.735+S	7323	2467	1.321	2.219	4260	3290	0.097	-0.490
abu+Sdyd+251.976+d	1760	3976	2.705	6.308	172	233	42.623	2404.004
abu+S\9eyd+253.125+S	8016	2484	1.091	2.244	4861	3578	-0.003	-0.684
abu+Smwt+255.864+S	6542	2613	2.356	6.320	4045	2846	0.139	0.862
abu+Smt+259.522+S	8132	2175	0.602	0.674	2038	3375	1.327	0.345
abu+mna\D-r+264.047+\D-	512	1318	10.484	124.725	242	171	23.580	1748.978
abu+wsyTh+268.262+s	7611	2562	1.079	2.131	4706	3325	0.046	-0.370
abu+faSl+269.924+S	8667	2764	0.401	0.446	4890	3883	0.209	-0.859
abu+w\D-y\?g+271.846+\D-	1181	3166	4.069	17.187	177	206	43.816	2941.588
abu+wDyh+280.059+D	765	2102	5.817	37.064	241	232	27.566	1457.469
abu+aSwl+286.299+S	8201	2667	0.927	1.818	5596	3356	-0.064	-0.029
abu+alfDa\?g+289.620+D	7043	5082	-0.138	-1.025	198	649	15.517	263.694
abu+maDr+292.228+D	1750	4207	3.146	9.035	177	243	42.692	2731.402
abu+msTrh+295.894+s	7540	2408	1.097	2.891	6057	2401	0.217	1.779
abu+naDl+297.945+D	3562	5341	1.682	1.952	151	272	36.456	1857.546
abu+naDl+299.567+D	903	2671	5.580	32.131	234	239	32.708	2100.630
abu+mSyr+304.228+S	7946	2090	0.730	3.029	5876	3111	-0.484	-0.119
abu+mSyr+307.901+S	8136	2054	0.836	3.154	5463	3533	-0.360	-0.831
abu+mSyr+314.502+S	6580	2418	1.272	3.016	4320	2710	0.093	0.390
abu+w\D-yf+330.901+\D-	2919	4411	1.559	1.398	223	442	19.360	481.208
abu+mlabs+333.099+s	7748	2192	0.642	2.115	4275	3568	0.100	-1.125
abu+h\D-ym+336.747+\D-	1114	2972	4.336	19.247	182	210	37.949	2474.837
abu+mh\D-wm+340.107+\D-	5016	5568	0.994	0.221	183	479	21.151	562.908
abu+s\9eyd+345.630+s	7483	2550	1.522	3.229	5913	2505	0.120	2.568
abu+nSyb+347.023+S	6958	1810	2.198	9.517	5705	2358	-0.793	2.218
abu+antSar+348.307+S	8486	2143	0.732	3.453	5959	3529	-0.412	-0.618
abu+wsTy+353.175+s	9185	3477	0.443	-0.309	4841	4053	0.532	-0.284
abu+naDl+374.261+D	1354	3509	3.732	13.663	172	221	40.548	2658.318
abu+mtwaSl+375.539+S	7634	2318	0.629	1.817	2649	3423	0.886	-0.495
abu+mlabs+376.848+s	7829	2123	0.928	3.464	5283	3338	-0.302	-0.639
abu+brS+377.979+S	7449	2256	0.987	2.514	4173	3404	0.102	-0.917
abu+m\9eslh+378.910+s	7464	2386	0.921	1.636	4937	3145	-0.107	-0.285
abu+nSyb+379.874+S	7060	2323	1.320	2.976	3439	3269	0.366	-0.755
abu+syf+380.964+s	7007	2307	1.467	3.402	578	1806	3.412	11.707
abu+zhwr+382.129+z	2513	3372	1.582	2.788	246	521	12.076	185.963
abu+wsTh+383.413+s	7777	2716	0.876	2.281	3844	3533	0.459	-0.563
abu+naDr+384.647+D	5772	6243	0.792	-0.496	125	293	38.556	1844.321
abu+maDr+385.987+D	762	1891	6.844	54.215	246	247	17.803	851.829
abu+wsyTh+388.287+s	7588	2603	0.936	1.458	910	2306	2.698	6.869
abu+S\9eyd+389.454+S	7117	1825	1.473	4.843	5962	2250	-0.730	2.432
abu+maDn+391.232+D	4397	4694	0.882	0.282	154	474	17.949	394.014
abu+awtwbys+392.722+s	7655	2317	0.801	2.277	3857	3540	0.300	-1.001
abu+jrs+394.041+s	7344	2384	1.179	2.666	2815	3347	0.744	-0.522
abu+mSwl+395.094+S	7929	1768	0.849	5.143	3797	3795	0.244	-1.502
abu+mS\9ed+396.485+S	7473	2179	0.909	2.019	3100	3470	0.575	-0.954
abu+ant\D-am+397.874+\D-	910	2630	5.753	34.265	231	242	29.383	1859.175
abu+wDy\?g+399.019+D	1104	2667	4.388	21.759	214	265	25.031	1118.932
abu+as\9ed+400.087+s	7664	2097	1.233	2.362	3391	3625	0.427	-1.154
abu+slTh+401.061+s	7525	2199	1.197	3.703	915	2338	2.574	5.768
abu+mSyr+402.321+S	6389	1935	2.125	7.184	2452	2955	0.677	-0.720
abu+msa\9edh+405.922+s	7584	2245	1.262	3.778	4932	3279	-0.163	-0.531
abu+nDyf+407.386+D	3364	5428	1.643	1.623	163	324	34.672	1496.452
abu+wDw\?g+409.703+D	1675	3743	3.087	9.409	163	231	38.883	2225.731
abu+anfSal+412.090+S	7419	2053	1.128	2.515	6027	2467	-0.501	1.588
abu+msTrh+413.389+s	8132	2018	0.959	4.232	4074	3860	0.204	-1.370
abu+sTam+414.024+s	8190	2197	1.005	2.782	5178	3662	-0.202	-0.917
abu+Syf+415.452+S	7802	2111	0.788	2.205	5266	3326	-0.318	-0.643
abu+w\D-yf+417.161+\D-	5068	5573	0.892	-0.100	152	386	26.163	852.435
abu+alfDa\?g+421.257+D	2143	4605	2.707	6.490	198	316	33.129	1597.314
abu+sTwr+437.569+s	6440	2385	1.788	5.335	4413	2579	0.026	1.123
abu+smwt+443.834+s	8318	2829	0.783	1.051	4327	3788	0.343	-0.643
abu+n\D-afh+449.470+\D-	6440	5980	0.411	-0.987	207	625	17.665	364.476
abu+sbHh+453.027+s	7776	2509	0.690	1.030	5875	2781	-0.021	0.733
abu+Sdf+499.038+S	6919	2290	1.677	4.010	5245	2536	-0.212	1.604
abu+hDym+500.026+D	1092	2955	4.495	21.034	188	221	36.740	2326.739
abu+Samt+503.099+S	7122	1959	1.453	5.546	4982	2969	-0.412	-0.241
abu+antSar+504.527+S	7976	2338	1.114	2.093	5133	3502	-0.178	-0.634
abu+mwa\D-bh+506.845+\D-	793	2114	6.921	51.662	277	251	21.314	1207.937
abu+alnaSrh+508.308+S	7422	2322	1.200	4.084	1082	2478	2.297	4.403
abu+Smwt+509.487+S	7242	2430	1.562	3.775	5114	2890	-0.145	0.667
abu+Smt+510.564+S	6624	2370	1.587	4.642	3219	3041	0.419	-0.428
abu+sdf+514.630+s	7845	2705	0.775	0.590	4350	3514	0.246	-0.560
abu+mna\D-r+517.424+\D-	995	2835	4.931	25.289	200	224	36.145	2336.689
abu+smwT+518.206+s	7144	2949	1.376	2.677	205	1030	6.979	56.955
abu+w\D-yfh+519.617+\D-	646	1622	7.820	71.155	278	220	21.467	1183.252
abu+s\9eyd+523.208+s	7468	2296	1.236	3.565	4312	3385	0.063	-0.789
abu+m\9eSm+524.852+S	7576	2392	1.122	3.304	1828	3060	1.460	1.044
abu+n\D-yf+527.119+\D-	1948	3952	2.485	5.335	192	329	26.386	993.653
abu+faSl+529.682+S	7894	2606	0.710	1.069	4619	3510	0.140	-0.670
abu+Sdyd+530.672+S	8023	2758	0.910	1.095	4761	3526	0.158	-0.396
abu+Sdyd+530.896+d	2417	4586	2.005	2.779	182	318	33.129	1345.651
abu+bsaTh+533.400+s	7613	2643	0.839	1.834	3093	3466	0.728	-0.465
abu+stwr+534.534+s	8264	2501	0.671	1.836	5865	3268	-0.165	-0.109
abu+aSwl+536.054+S	7641	2125	1.220	4.806	6092	2628	-0.423	1.144
abu+fDwl+541.178+D	8535	4627	-0.512	-0.162	194	774	13.513	196.189
abu+sdyd+542.291+s	6781	2300	1.588	3.835	4224	2965	-0.019	-0.188
abu+sbHh+543.494+s	7261	2543	1.403	3.292	4927	2966	-0.023	0.506
abu+mtwaSl+547.398+S	7389	2642	0.952	1.726	3335	3371	0.589	-0.493
abu+maDn+548.822+D	2568	4751	1.922	2.342	196	338	31.025	1203.823
abu+brS+550.172+S	7881	2630	0.886	1.282	4147	3592	0.295	-0.706
