
By speaker
t:  0.829, p:  0.416, dt: 27/11/2010-11:40:24, F1: abu - alan - aa plain, N1 = 11, N2 = 12
t:  0.164, p:  0.872, dt: 27/11/2010-11:40:24, F1: abu - ktab - aa plain, N1 = 11, N2 = 12
t: -0.956, p:  0.350, dt: 27/11/2010-11:40:24, F1: abu - mlabs - aa plain, N1 = 11, N2 = 12
t:  0.004, p:  0.997, dt: 27/11/2010-11:40:24, F1: abu - ratb - aa plain, N1 = 11, N2 = 8
t: -4.151, p:  0.000, dt: 27/11/2010-11:40:24, F2: abu - alan - aa plain, N1 = 11, N2 = 12
t:  1.934, p:  0.067, dt: 27/11/2010-11:40:24, F2: abu - ktab - aa plain, N1 = 11, N2 = 12
t:  1.463, p:  0.158, dt: 27/11/2010-11:40:24, F2: abu - mlabs - aa plain, N1 = 11, N2 = 12
t:  1.249, p:  0.229, dt: 27/11/2010-11:40:24, F2: abu - ratb - aa plain, N1 = 11, N2 = 8
t: -4.466, p:  0.000, dt: 27/11/2010-11:40:24, F3: abu - alan - aa plain, N1 = 11, N2 = 12
t:  1.842, p:  0.080, dt: 27/11/2010-11:40:24, F3: abu - ktab - aa plain, N1 = 11, N2 = 12
t:  1.238, p:  0.229, dt: 27/11/2010-11:40:24, F3: abu - mlabs - aa plain, N1 = 11, N2 = 12
t:  1.729, p:  0.102, dt: 27/11/2010-11:40:24, F3: abu - ratb - aa plain, N1 = 11, N2 = 8
t:  0.920, p:  0.365, dt: 27/11/2010-11:40:24, F1: abu - hy - ii plain, N1 = 11, N2 = 20
t:    n/a, p:    n/a, dt: 27/11/2010-11:40:24, F1: abu - jzyrh - ii plain, N1 = 11, N2 = 0
t:  1.276, p:  0.216, dt: 27/11/2010-11:40:24, F1: abu - sdyd - ii plain, N1 = 11, N2 = 12
t: -1.667, p:  0.110, dt: 27/11/2010-11:40:24, F1: abu - tlyfwn - ii plain, N1 = 11, N2 = 12
t: -1.606, p:  0.119, dt: 27/11/2010-11:40:25, F2: abu - hy - ii plain, N1 = 11, N2 = 20
t:    n/a, p:    n/a, dt: 27/11/2010-11:40:25, F2: abu - jzyrh - ii plain, N1 = 11, N2 = 0
t: -1.590, p:  0.127, dt: 27/11/2010-11:40:25, F2: abu - sdyd - ii plain, N1 = 11, N2 = 12
t:  4.174, p:  0.000, dt: 27/11/2010-11:40:25, F2: abu - tlyfwn - ii plain, N1 = 11, N2 = 12
t: -2.788, p:  0.009, dt: 27/11/2010-11:40:25, F3: abu - hy - ii plain, N1 = 11, N2 = 20
t:    n/a, p:    n/a, dt: 27/11/2010-11:40:25, F3: abu - jzyrh - ii plain, N1 = 11, N2 = 0
t:  0.554, p:  0.586, dt: 27/11/2010-11:40:25, F3: abu - sdyd - ii plain, N1 = 11, N2 = 12
t:  4.097, p:  0.001, dt: 27/11/2010-11:40:25, F3: abu - tlyfwn - ii plain, N1 = 11, N2 = 12
t:    n/a, p:    n/a, dt: 27/11/2010-11:40:25, F1: abu - ftwr - uu plain, N1 = 7, N2 = 0
t:  0.609, p:  0.548, dt: 27/11/2010-11:40:25, F1: abu - hw - uu plain, N1 = 7, N2 = 20
t:    n/a, p:    n/a, dt: 27/11/2010-11:40:25, F1: abu - skwt - uu plain, N1 = 7, N2 = 0
t: -1.922, p:  0.077, dt: 27/11/2010-11:40:25, F1: abu - tlyfwn - uu plain, N1 = 7, N2 = 8
