abu+alnaSrh+53.607+S	8112	2910	0.792	0.696	1750	3113	1.712	2.158
abu+alnaSrh+634.143+S	6685	2059	1.956	8.381	2826	3121	0.564	-0.818
abu+anfSal+588.330+S	7973	2605	0.625	1.237	3123	3632	0.749	-0.587
abu+anfSal+62.684+S	6650	2458	1.954	5.975	3868	2979	0.173	-0.037
abu+antSar+504.527+S	7976	2338	1.114	2.093	5133	3502	-0.178	-0.634
abu+antSar+632.930+S	7165	2431	1.863	5.025	4069	3270	0.129	-0.449
abu+aSwl+536.054+S	7641	2125	1.220	4.806	6092	2628	-0.423	1.144
abu+aSwl+634.823+S	7531	2595	1.588	3.783	4192	3430	0.201	-0.446
abu+faSl+529.682+S	7894	2606	0.710	1.069	4619	3510	0.140	-0.670
abu+faSl+621.785+S	7892	2939	0.828	1.075	3043	3528	0.864	-0.061
abu+mtwaSl+375.539+S	7634	2318	0.629	1.817	2649	3423	0.886	-0.495
abu+mtwaSl+547.398+S	7389	2642	0.952	1.726	3335	3371	0.589	-0.493
abu+Samt+610.965+S	7587	2845	1.362	2.926	690	2023	3.329	11.689
abu+Samt+87.024+S	7156	2098	2.096	6.962	5833	2393	-0.494	2.803
alohali+alnaSrh+335.103+S	8003	3055	0.940	0.412	5276	3258	0.219	0.587
alohali+alnaSrh+555.361+S	6291	2099	1.813	4.467	5102	2004	-0.017	3.596
alohali+anfSal+558.682+S	6453	2225	1.127	1.486	4944	2224	0.062	1.780
alohali+anfSal+89.770+S	8115	2834	0.514	-0.464	5969	2939	0.199	0.688
alohali+antSar+681.508+S	7933	2519	0.487	-0.265	6391	2483	0.287	1.081
alohali+antSar+72.921+S	6958	1902	1.951	6.103	5966	2028	-0.486	4.225
alohali+aSwl+300.137+S	8852	1849	-0.323	2.688	7451	2770	-0.850	0.524
alohali+aSwl+523.445+S	7801	1692	1.001	2.316	7052	1871	-0.622	4.033
alohali+baS+561.541+S	6653	2225	1.449	3.303	4767	2598	-0.181	0.779
alohali+baS+69.958+S	6757	1482	2.811	13.472	6062	1763	-1.186	6.745
alohali+faSl+315.885+S	8416	2312	1.173	3.438	6164	3358	-0.441	0.028
alohali+faSl+542.249+S	7710	2455	0.425	-0.068	5794	2766	-0.037	0.415
alohali+mtwaSl+470.372+S	7989	2219	0.339	0.422	6000	2996	-0.380	-0.005
alohali+mtwaSl+710.174+S	6857	2668	0.753	0.892	3942	2907	0.410	0.084
alohali+Samt+484.043+S	6774	2592	1.336	1.923	3728	3009	0.309	-0.055
alohali+Samt+637.785+S	7241	1956	1.126	3.823	4950	3064	-0.363	-0.512
alotaiq+alnaSrh+303.684+S	7448	2464	1.633	4.205	2577	3325	0.921	-0.139
alotaiq+alnaSrh+81.224+S	7504	2293	1.504	5.437	2056	3138	1.275	0.497
alotaiq+anfSal+304.791+S	7031	2254	1.178	2.400	3931	3196	0.128	-0.743
alotaiq+anfSal+65.873+S	6815	2014	1.223	2.475	5285	2449	-0.442	1.167
alotaiq+antSar+353.013+S	7594	2379	0.750	1.074	4970	3212	-0.098	-0.413
alotaiq+antSar+57.322+S	7032	1871	1.082	2.492	5717	2353	-0.633	1.523
alotaiq+aSwl+290.873+S	5879	3038	1.330	1.896	2878	2446	0.939	2.370
alotaiq+aSwl+36.711+S	6952	2807	0.166	-0.743	4545	2567	0.781	0.690
alotaiq+baS+306.053+S	7349	2541	1.687	5.274	1587	2813	1.710	2.213
alotaiq+baS+56.118+S	6124	1992	1.856	6.681	3356	2804	0.144	-0.672
alotaiq+faSl+205.433+S	7379	2694	1.510	4.468	1041	2332	2.537	6.340
alotaiq+faSl+298.503+S	7365	2327	1.378	4.617	2400	3232	1.010	-0.087
alotaiq+mtwaSl+270.585+S	6816	2161	1.466	4.518	2883	3132	0.589	-0.711
alotaiq+mtwaSl+363.096+S	7290	2114	1.174	3.111	4497	3251	-0.110	-0.793
alotaiq+Samt+274.418+S	7339	2422	1.783	5.943	3870	3400	0.242	-0.609
alotaiq+Samt+336.023+S	6813	2466	2.064	4.789	4887	2694	-0.153	1.574
mohammed+alnaSrh+320.368+S	9622	2235	0.197	-0.010	8086	3063	-0.779	1.053
mohammed+alnaSrh+561.576+S	9927	2142	-0.244	0.836	8216	3301	-0.866	0.494
mohammed+anfSal+378.245+S	9056	2479	0.186	-0.458	7290	3041	-0.365	0.519
mohammed+anfSal+563.999+S	9259	2124	-0.260	0.128	7877	2776	-0.641	0.653
mohammed+antSar+68.623+S	8099	2190	0.781	-0.270	7201	1933	0.794	2.166
mohammed+aSwl+37.663+S	8670	2627	0.918	0.429	7300	2548	0.238	2.166
mohammed+aSwl+528.837+S	8236	1601	1.278	6.652	7349	2201	-1.217	3.575
mohammed+baS+566.505+S	6688	2057	1.835	4.205	5573	2054	-0.227	3.866
mohammed+baS+66.500+S	7007	1758	1.800	4.919	6297	1679	-0.096	6.133
mohammed+faSl+299.301+S	8930	2234	0.326	0.482	7540	2718	-0.498	1.163
mohammed+faSl+548.037+S	9036	1801	-0.147	1.052	8002	2431	-0.981	1.796
mohammed+mtwaSl+467.012+S	9752	2358	-0.567	0.036	7668	3468	-0.540	-0.334
mohammed+Samt+486.185+S	9866	2301	-0.268	0.496	8478	2833	-0.411	0.194
mohammed+Samt+54.789+S	9969	2237	-0.388	0.109	8651	2798	-0.514	0.299
naif1+alnaSrh+327.089+S	8454	2899	0.813	0.840	5005	3721	0.185	-0.457
naif1+alnaSrh+65.998+S	7707	2912	1.221	1.424	5185	3110	0.161	0.811
naif1+anfSal+328.688+S	9196	3391	0.356	-0.637	5151	4027	0.396	-0.353
naif1+anfSal+45.178+S	8178	2601	0.733	-0.126	6051	3088	-0.185	0.476
