abu+S+brS+46.428	7538	2848	1.517	3.404	3890	3427	0.410	-0.108
abu+S+alnaSrh+53.607	8112	2910	0.792	0.696	1750	3113	1.712	2.158
abu+S+anfSal+62.684	6650	2458	1.954	5.975	3868	2979	0.173	-0.037
abu+S+mS\9ed+77.048	7812	2643	0.898	1.036	5127	3254	0.018	-0.094
abu+S+Samt+87.024	7156	2098	2.096	6.962	5833	2393	-0.494	2.803
abu+S+Sdf+138.531	6319	1789	3.529	19.233	5041	2279	-0.732	2.610
abu+S+mtwaSl+170.266	8065	2564	0.574	0.247	5665	3204	-0.122	-0.051
abu+S+mSwl+175.158	7144	2583	1.284	2.936	5304	2565	0.221	1.664
abu+S+SbHh+224.877	8647	2853	0.690	0.802	4451	3949	0.351	-0.753
abu+S+SbHh+233.414	7782	3181	1.172	1.586	3582	3486	0.700	0.216
abu+S+m\9eSm+241.242	8243	2576	0.668	1.398	4008	3781	0.411	-0.901
abu+S+Sdyd+251.735	7323	2467	1.321	2.219	4260	3290	0.097	-0.490
abu+S+S\9eyd+253.125	8016	2484	1.091	2.244	4861	3578	-0.003	-0.684
abu+S+Smwt+255.864	6542	2613	2.356	6.320	4045	2846	0.139	0.862
abu+S+Smt+259.522	8132	2175	0.602	0.674	2038	3375	1.327	0.345
abu+S+faSl+269.924	8667	2764	0.401	0.446	4890	3883	0.209	-0.859
abu+S+aSwl+286.299	8201	2667	0.927	1.818	5596	3356	-0.064	-0.029
abu+S+mSyr+304.228	7946	2090	0.730	3.029	5876	3111	-0.484	-0.119
abu+S+mSyr+307.901	8136	2054	0.836	3.154	5463	3533	-0.360	-0.831
abu+S+mSyr+314.502	6580	2418	1.272	3.016	4320	2710	0.093	0.390
abu+S+nSyb+347.023	6958	1810	2.198	9.517	5705	2358	-0.793	2.218
abu+S+antSar+348.307	8486	2143	0.732	3.453	5959	3529	-0.412	-0.618
abu+S+mtwaSl+375.539	7634	2318	0.629	1.817	2649	3423	0.886	-0.495
abu+S+brS+377.979	7449	2256	0.987	2.514	4173	3404	0.102	-0.917
abu+S+nSyb+379.874	7060	2323	1.320	2.976	3439	3269	0.366	-0.755
abu+S+S\9eyd+389.454	7117	1825	1.473	4.843	5962	2250	-0.730	2.432
abu+S+mSwl+395.094	7929	1768	0.849	5.143	3797	3795	0.244	-1.502
abu+S+mS\9ed+396.485	7473	2179	0.909	2.019	3100	3470	0.575	-0.954
abu+S+mSyr+402.321	6389	1935	2.125	7.184	2452	2955	0.677	-0.720
abu+S+anfSal+412.090	7419	2053	1.128	2.515	6027	2467	-0.501	1.588
abu+S+Sdf+499.038	6919	2290	1.677	4.010	5245	2536	-0.212	1.604
abu+S+Samt+503.099	7122	1959	1.453	5.546	4982	2969	-0.412	-0.241
abu+S+antSar+504.527	7976	2338	1.114	2.093	5133	3502	-0.178	-0.634
abu+S+alnaSrh+508.308	7422	2322	1.200	4.084	1082	2478	2.297	4.403
abu+S+Smwt+509.487	7242	2430	1.562	3.775	5114	2890	-0.145	0.667
abu+S+Smt+510.564	6624	2370	1.587	4.642	3219	3041	0.419	-0.428
abu+S+m\9eSm+524.852	7576	2392	1.122	3.304	1828	3060	1.460	1.044
abu+S+faSl+529.682	7894	2606	0.710	1.069	4619	3510	0.140	-0.670
abu+S+Sdyd+530.672	8023	2758	0.910	1.095	4761	3526	0.158	-0.396
abu+S+aSwl+536.054	7641	2125	1.220	4.806	6092	2628	-0.423	1.144
abu+S+mtwaSl+547.398	7389	2642	0.952	1.726	3335	3371	0.589	-0.493
abu+S+brS+550.172	7881	2630	0.886	1.282	4147	3592	0.295	-0.706
abu+S+nSyb+552.095	7741	2916	1.170	1.830	518	1783	4.035	17.632
abu+S+m\9eSm+565.047	8238	2731	0.712	1.070	3613	3781	0.591	-0.684
abu+S+S\9eyd+566.817	6983	2726	1.971	4.873	179	957	7.345	62.672
abu+S+mS\9ed+571.218	7901	2823	0.729	0.063	3398	3589	0.651	-0.440
abu+S+Sdf+573.776	6420	1919	2.295	9.661	958	2174	2.203	3.979
abu+S+mSyr+580.207	7423	2439	1.251	2.694	2512	3301	0.943	-0.172
abu+S+SbHh+586.004	7822	2690	1.095	1.810	499	1772	4.079	17.472
abu+S+anfSal+588.330	7973	2605	0.625	1.237	3123	3632	0.749	-0.587
abu+S+Samt+610.965	7587	2845	1.362	2.926	690	2023	3.329	11.689
abu+S+Smwt+616.621	7651	2221	1.271	4.361	4177	3553	0.113	-1.013
abu+S+Smt+617.236	8478	2345	0.847	2.511	5451	3729	-0.187	-0.811
abu+S+Smwt+617.937	7911	2756	1.106	2.569	3644	3620	0.554	-0.507
abu+S+faSl+621.785	7892	2939	0.828	1.075	3043	3528	0.864	-0.061
abu+S+antSar+632.930	7165	2431	1.863	5.025	4069	3270	0.129	-0.449
abu+S+alnaSrh+634.143	6685	2059	1.956	8.381	2826	3121	0.564	-0.818
abu+S+aSwl+634.823	7531	2595	1.588	3.783	4192	3430	0.201	-0.446
abu+S+Sdyd+644.469	7012	2679	1.665	3.577	576	1776	3.549	13.631
abu+S+mSwl+646.327	7499	2162	1.397	5.243	199	1066	6.904	50.549
abu+S+Sad+692.644	7911	2486	0.735	1.733	4685	3504	0.089	-0.742
alohali+S+aSwl+20.625	8590	2970	0.186	0.048	6095	3149	0.399	-0.022
alohali+S+brS+23.516	6865	2151	1.341	2.928	5682	2058	0.159	2.884
alohali+S+Smt+57.795	7590	1538	2.278	11.245	6425	2504	-1.310	2.481
alohali+S+baS+69.958	6757	1482	2.811	13.472	6062	1763	-1.186	6.745
alohali+S+antSar+72.921	6958	1902	1.951	6.103	5966	2028	-0.486	4.225
alohali+S+anfSal+89.770	8115	2834	0.514	-0.464	5969	2939	0.199	0.688
alohali+S+alnaSrh+129.997	7877	2149	1.502	3.844	6447	2633	-0.596	2.003
alohali+S+mtwaSl+191.751	6741	1761	2.359	9.627	5855	1911	-0.627	4.997
alohali+S+nSyb+194.408	6530	1596	2.402	10.525	5876	1583	-0.388	7.209
alohali+S+Sdf+205.420	6360	2192	2.274	6.978	4629	2484	-0.251	1.502
alohali+S+S\9eyd+208.333	6243	2517	2.197	5.423	4322	2482	0.073	2.097
alohali+S+faSl+231.781	7688	2536	0.840	0.391	5868	2725	-0.047	1.130
alohali+S+Samt+247.277	7784	3530	0.622	-0.587	3567	3336	0.882	0.870
alohali+S+mS\9ed+266.102	7720	2488	0.680	0.244	5431	3053	-0.126	0.098
alohali+S+mSyr+275.161	7260	2269	1.377	1.912	5919	2332	-0.168	2.620
alohali+S+Sdyd+284.602	6444	1322	4.587	31.211	5366	2247	-1.328	2.477
alohali+S+aSwl+300.137	8852	1849	-0.323	2.688	7451	2770	-0.850	0.524
alohali+S+S\9eyd+305.240	7690	2493	1.098	3.299	3498	3531	0.517	-0.704
alohali+S+Smt+308.271	7530	2424	1.725	3.605	4666	3355	-0.061	-0.395
alohali+S+faSl+315.885	8416	2312	1.173	3.438	6164	3358	-0.441	0.028
alohali+S+alnaSrh+335.103	8003	3055	0.940	0.412	5276	3258	0.219	0.587
alohali+S+brS+349.531	6387	2350	0.879	0.988	4778	2181	0.425	1.659
alohali+S+mSyr+363.335	7846	2603	0.622	-0.138	6384	2356	0.633	1.560
alohali+S+baS+373.779	6450	2084	1.723	4.311	5288	2020	-0.080	3.696
alohali+S+anfSal+381.872	7185	2643	1.195	1.217	5708	2254	0.679	3.220
alohali+S+antSar+426.544	7180	2247	1.082	1.432	5894	2211	0.063	2.418
alohali+S+mtwaSl+470.372	7989	2219	0.339	0.422	6000	2996	-0.380	-0.005
alohali+S+nSyb+481.090	7619	2539	0.643	0.175	6146	2313	0.639	1.377
alohali+S+Samt+484.043	6774	2592	1.336	1.923	3728	3009	0.309	-0.055
alohali+S+Sdf+496.915	5473	2267	3.594	15.344	3663	2302	-0.020	2.335
alohali+S+Sdyd+512.097	6901	1971	1.776	4.859	5827	2082	-0.402	3.687
alohali+S+aSwl+523.445	7801	1692	1.001	2.316	7052	1871	-0.622	4.033
alohali+S+S\9eyd+526.089	6440	1769	2.684	12.984	4750	2587	-0.592	0.538
alohali+S+faSl+542.249	7710	2455	0.425	-0.068	5794	2766	-0.037	0.415
alohali+S+alnaSrh+555.361	6291	2099	1.813	4.467	5102	2004	-0.017	3.596
alohali+S+anfSal+558.682	6453	2225	1.127	1.486	4944	2224	0.062	1.780
alohali+S+baS+561.541	6653	2225	1.449	3.303	4767	2598	-0.181	0.779
alohali+S+Sdf+584.979	5988	2057	1.871	5.457	4812	1928	0.031	3.824
alohali+S+Samt+637.785	7241	1956	1.126	3.823	4950	3064	-0.363	-0.512
alohali+S+Smt+659.056	8124	2509	1.643	4.291	4923	3671	-0.024	-0.591
alohali+S+antSar+681.508	7933	2519	0.487	-0.265	6391	2483	0.287	1.081
alohali+S+mSyr+684.432	8385	2572	0.190	-0.396	6122	3167	-0.127	-0.068
alohali+S+brS+690.974	6655	2417	0.875	1.490	4955	2291	0.426	1.418
alohali+S+Sdyd+707.472	5343	1830	3.646	17.291	4346	1780	-0.415	5.805
alohali+S+mtwaSl+710.174	6857	2668	0.753	0.892	3942	2907	0.410	0.084
alohali+S+nSyb+718.395	8552	2609	0.628	0.517	6926	2736	0.059	1.177
alohali+S+Sad+785.321	6950	2489	0.938	-0.049	5717	1959	1.214	3.352
alotaiq+S+aSwl+36.711	6952	2807	0.166	-0.743	4545	2567	0.781	0.690
alotaiq+S+brS+39.403	6659	2201	1.959	7.011	3562	3062	0.211	-0.599
alotaiq+S+Smt+50.516	7832	2001	1.371	4.770	5168	3458	-0.347	-0.781
alotaiq+S+baS+56.118	6124	1992	1.856	6.681	3356	2804	0.144	-0.672
alotaiq+S+antSar+57.322	7032	1871	1.082	2.492	5717	2353	-0.633	1.523
alotaiq+S+anfSal+65.873	6815	2014	1.223	2.475	5285	2449	-0.442	1.167
alotaiq+S+alnaSrh+81.224	7504	2293	1.504	5.437	2056	3138	1.275	0.497
alotaiq+S+mtwaSl+110.476	7298	1951	0.806	3.055	4008	3371	0.090	-1.248
alotaiq+S+nSyb+111.664	7338	1697	0.873	2.275	6448	1978	-0.702	3.022
alotaiq+S+Sdf+117.585	7182	2735	1.309	3.022	1934	2942	1.398	1.352
alotaiq+S+S\9eyd+120.655	7079	1246	3.039	24.979	5135	3025	-0.816	-0.590
alotaiq+S+faSl+133.980	7335	2065	1.156	3.947	3763	3420	0.222	-1.143
alotaiq+S+Samt+140.380	7331	1646	1.929	9.156	5042	3207	-0.549	-0.727
alotaiq+S+mS\9ed+148.164	8382	2164	0.402	1.352	3964	3950	0.333	-1.323
alotaiq+S+mSyr+186.289	7120	1929	1.827	9.240	3596	3350	0.225	-1.166
alotaiq+S+Sdyd+190.889	6952	1840	1.846	8.031	3483	3299	0.199	-1.225
alotaiq+S+aSwl+197.184	6964	2488	0.276	0.574	4919	2512	0.447	0.344
alotaiq+S+S\9eyd+200.174	7209	2307	1.340	3.114	4763	3067	-0.149	-0.145
alotaiq+S+Smt+201.533	6409	1607	3.336	17.572	4941	2491	-0.840	1.034
alotaiq+S+faSl+205.433	7379	2694	1.510	4.468	1041	2332	2.537	6.340
alotaiq+S+alnaSrh+213.664	7280	1954	1.614	6.093	2989	3384	0.574	-1.025
alotaiq+S+brS+219.971	6741	2223	1.976	5.949	3680	3116	0.150	-0.616
alotaiq+S+mSyr+226.169	7136	2008	1.246	2.238	4335	3219	-0.117	-0.919
alotaiq+S+baS+230.838	6730	2264	2.466	8.891	3970	3046	0.047	-0.253
alotaiq+S+anfSal+234.582	7364	1928	1.107	2.709	5349	2981	-0.544	-0.115
alotaiq+S+antSar+253.991	6889	2125	1.362	2.672	5096	2653	-0.374	0.724
alotaiq+S+mtwaSl+270.585	6816	2161	1.466	4.518	2883	3132	0.589	-0.711
alotaiq+S+nSyb+273.524	6964	2242	1.152	3.093	5093	2650	-0.188	0.711
alotaiq+S+Samt+274.418	7339	2422	1.783	5.943	3870	3400	0.242	-0.609
alotaiq+S+Sdf+278.186	5883	1619	3.215	14.899	4152	2493	-0.551	0.111
alotaiq+S+Sdyd+286.486	6233	2439	2.743	10.007	1335	2397	1.717	2.771
alotaiq+S+aSwl+290.873	5879	3038	1.330	1.896	2878	2446	0.939	2.370
alotaiq+S+S\9eyd+291.891	7335	2239	1.896	6.610	3096	3426	0.557	-0.774
alotaiq+S+faSl+298.503	7365	2327	1.378	4.617	2400	3232	1.010	-0.087
alotaiq+S+alnaSrh+303.684	7448	2464	1.633	4.205	2577	3325	0.921	-0.139
alotaiq+S+anfSal+304.791	7031	2254	1.178	2.400	3931	3196	0.128	-0.743
alotaiq+S+baS+306.053	7349	2541	1.687	5.274	1587	2813	1.710	2.213
alotaiq+S+Sdf+315.741	6898	2250	1.187	2.681	4575	2892	-0.118	-0.063
alotaiq+S+Samt+336.023	6813	2466	2.064	4.789	4887	2694	-0.153	1.574
alotaiq+S+Smt+343.548	7284	2011	0.934	1.894	5150	2995	-0.427	-0.242
alotaiq+S+antSar+353.013	7594	2379	0.750	1.074	4970	3212	-0.098	-0.413
alotaiq+S+mSyr+354.058	7614	2497	1.128	2.896	2791	3409	0.851	-0.309
alotaiq+S+brS+356.541	6880	2874	2.106	5.599	1882	2834	1.418	1.900
alotaiq+S+Sdyd+361.479	6875	2287	1.639	5.376	4283	3007	-0.018	-0.202
alotaiq+S+mtwaSl+363.096	7290	2114	1.174	3.111	4497	3251	-0.110	-0.793
alotaiq+S+nSyb+373.088	7235	1939	1.161	2.574	5058	3033	-0.451	-0.362
alotaiq+S+Sad+506.994	7069	2517	1.342	3.287	2944	3211	0.677	-0.308
mohammed+S+aSwl+37.663	8670	2627	0.918	0.429	7300	2548	0.238	2.166
mohammed+S+brS+40.063	7804	1395	1.128	7.419	7064	1978	-1.499	4.742
mohammed+S+Samt+54.789	9969	2237	-0.388	0.109	8651	2798	-0.514	0.299
mohammed+S+baS+66.500	7007	1758	1.800	4.919	6297	1679	-0.096	6.133
mohammed+S+antSar+68.623	8099	2190	0.781	-0.270	7201	1933	0.794	2.166
mohammed+S+anfSal+103.611	8907	2159	-0.002	-0.297	7647	2558	-0.434	0.896
mohammed+S+alnaSrh+132.008	9061	2053	0.037	0.912	6796	3562	-0.658	-0.412
mohammed+S+mtwaSl+179.136	8778	2427	0.012	-0.651	7264	2687	-0.075	0.386
mohammed+S+nSyb+181.991	9556	2129	0.301	0.138	8540	2430	-0.476	1.854
mohammed+S+Sdf+190.563	8811	2740	-0.146	-1.164	6861	2923	0.230	-0.196
mohammed+S+S\9eyd+193.370	9147	2559	-0.203	-1.019	7416	2905	-0.031	-0.187
mohammed+S+faSl+217.886	8196	1487	1.106	6.971	7415	2080	-1.414	4.414
mohammed+S+Samt+232.504	9190	2445	0.045	-0.100	7439	3040	-0.358	0.335
mohammed+S+mSyr+259.205	9460	2359	-0.041	-0.294	8131	2674	-0.200	0.408
mohammed+S+Sdyd+267.389	8178	2692	0.583	-0.698	6526	2632	0.250	1.372
mohammed+S+aSwl+282.192	8949	1821	0.222	2.326	7885	2471	-1.003	2.154
mohammed+S+S\9eyd+287.298	9277	2618	0.127	-0.462	7662	2850	0.028	0.308
mohammed+S+Smt+290.114	8309	2668	0.535	-0.402	6720	2591	0.338	1.196
mohammed+S+faSl+299.301	8930	2234	0.326	0.482	7540	2718	-0.498	1.163
mohammed+S+alnaSrh+320.368	9622	2235	0.197	-0.010	8086	3063	-0.779	1.053
mohammed+S+brS+339.066	7956	1347	0.286	9.390	6326	2996	-1.132	0.249
mohammed+S+mSyr+354.104	9370	2682	0.378	-0.444	7594	3088	-0.217	0.756
mohammed+S+baS+366.033	7044	1676	1.336	4.391	6080	2054	-0.854	3.122
mohammed+S+anfSal+378.245	9056	2479	0.186	-0.458	7290	3041	-0.365	0.519
mohammed+S+antSar+427.555	8921	1838	0.508	1.739	7885	2449	-1.038	2.652
mohammed+S+mtwaSl+467.012	9752	2358	-0.567	0.036	7668	3468	-0.540	-0.334
mohammed+S+nSyb+484.000	8890	1949	0.749	1.504	7945	2287	-0.706	3.032
mohammed+S+Samt+486.185	9866	2301	-0.268	0.496	8478	2833	-0.411	0.194
mohammed+S+Sdf+498.774	9977	2538	-0.137	0.113	8412	2993	-0.231	0.162
mohammed+S+Sdf+500.514	8750	2411	0.488	0.509	7552	2342	0.461	0.744
mohammed+S+Sdyd+516.006	9157	2646	-0.061	-0.668	7560	2731	0.333	-0.335
mohammed+S+aSwl+528.837	8236	1601	1.278	6.652	7349	2201	-1.217	3.575
mohammed+S+S\9eyd+531.248	8648	2719	0.089	-0.820	6950	2671	0.506	-0.008
mohammed+S+faSl+548.037	9036	1801	-0.147	1.052	8002	2431	-0.981	1.796
mohammed+S+alnaSrh+561.576	9927	2142	-0.244	0.836	8216	3301	-0.866	0.494
mohammed+S+anfSal+563.999	9259	2124	-0.260	0.128	7877	2776	-0.641	0.653
mohammed+S+baS+566.505	6688	2057	1.835	4.205	5573	2054	-0.227	3.866
mohammed+S+Sdf+586.419	8017	2148	1.091	3.516	6684	2473	-0.304	1.537
mohammed+S+Sdf+587.415	9118	2574	-0.033	-0.165	6994	3277	-0.245	-0.136
mohammed+S+Sad+761.366	9782	2196	-0.838	-0.168	8439	2734	-0.368	-0.647
naif1+S+aSwl+15.511	8529	4175	0.611	-0.478	4061	3542	1.120	1.774
naif1+S+brS+17.309	6885	2483	1.667	3.111	5510	2205	0.333	3.947
naif1+S+Smt+28.006	5996	2348	2.256	6.115	4389	2247	0.025	2.862
naif1+S+baS+34.749	6842	2389	1.564	3.258	5214	2444	-0.052	2.126
naif1+S+antSar+36.483	7437	2676	1.191	1.675	5018	3010	0.064	0.502
naif1+S+anfSal+45.178	8178	2601	0.733	-0.126	6051	3088	-0.185	0.476
naif1+S+alnaSrh+65.998	7707	2912	1.221	1.424	5185	3110	0.161	0.811
naif1+S+mtwaSl+100.095	7844	3175	1.195	1.191	4736	3337	0.365	0.592
naif1+S+nSyb+101.659	8249	3077	0.620	-0.358	5721	3164	0.292	0.651
naif1+S+faSl+123.338	8625	3296	0.683	0.091	5780	3403	0.366	0.600
naif1+S+Samt+131.032	8217	3728	0.735	-0.385	5730	2876	1.306	2.883
naif1+S+mSyr+148.810	8105	2827	0.479	-0.640	6170	2761	0.366	0.922
naif1+S+Sdyd+154.038	7379	2961	1.166	1.561	5387	2608	0.625	2.420
naif1+S+aSwl+166.349	7502	3499	1.036	0.404	4739	2918	0.834	2.369
naif1+S+Smt+171.437	5612	1952	2.970	11.792	4707	1658	0.135	7.963
naif1+S+faSl+175.913	6663	2261	1.895	3.978	5192	2343	-0.212	2.596
naif1+S+alnaSrh+187.275	7911	2983	0.976	0.333	5445	3110	0.190	0.853
naif1+S+brS+195.403	7618	3405	0.771	-0.230	4419	3124	0.684	1.165
naif1+S+mSyr+204.029	7561	2961	1.083	0.908	4906	3084	0.262	0.754
naif1+S+baS+211.131	7067	3195	1.095	0.712	4658	2674	0.773	2.443
naif1+S+anfSal+216.213	8372	3020	0.687	-0.277	5474	3449	0.148	0.104
naif1+S+antSar+244.056	8138	3184	0.752	0.117	5291	3258	0.389	0.616
naif1+S+mtwaSl+273.450	7194	3412	0.932	0.296	2969	3054	1.052	1.402
naif1+S+nSyb+278.501	7875	3245	0.882	-0.061	5302	3044	0.487	1.332
naif1+S+Samt+279.884	6642	2450	2.091	5.188	4792	2588	-0.102	1.834
naif1+S+Sdf+287.458	5492	2109	3.178	12.543	3664	2318	-0.101	1.360
naif1+S+Sdyd+297.070	5971	2190	3.150	12.421	4258	2409	-0.223	1.991
naif1+S+aSwl+307.587	8155	3514	0.464	-0.623	5541	2914	1.100	1.656
naif1+S+faSl+318.130	9452	3159	0.358	-0.625	5523	4184	0.204	-0.687
naif1+S+alnaSrh+327.089	8454	2899	0.813	0.840	5005	3721	0.185	-0.457
naif1+S+anfSal+328.688	9196	3391	0.356	-0.637	5151	4027	0.396	-0.353
naif1+S+baS+330.339	7981	3030	0.906	0.555	5341	3178	0.265	0.663
naif1+S+Sdf+343.101	6632	2826	2.264	6.023	3255	2999	0.557	0.632
naif1+S+Samt+374.457	7541	2253	1.631	3.477	6224	2414	-0.328	2.944
naif1+S+Smt+385.067	5827	2061	2.909	9.883	4869	1760	0.042	7.876
naif1+S+antSar+398.650	6783	2772	1.678	2.545	4998	2449	0.352	3.213
naif1+S+mSyr+399.953	6059	2247	2.080	4.638	4914	1886	0.330	5.721
naif1+S+brS+402.981	7281	3066	0.969	0.236	4664	2909	0.454	1.210
naif1+S+Sdyd+410.401	5924	2574	2.616	7.844	4040	2373	0.189	2.934
naif1+S+mtwaSl+413.597	6377	2574	1.655	2.171	4903	2135	0.502	4.246
naif1+S+nSyb+418.436	6633	2684	1.453	2.139	4611	2537	0.279	1.911
naif1+S+Sad+465.802	7202	2770	1.164	0.915	5734	2198	1.050	3.927
naif2+S+aSwl+12.150	5572	2865	2.110	4.725	4188	1732	2.044	12.371
naif2+S+brS+13.765	8622	2734	0.413	-0.083	5102	3822	0.101	-0.777
naif2+S+Smt+21.725	6212	1875	2.335	7.982	4881	2237	-0.581	2.143
naif2+S+baS+27.634	6539	2750	1.678	3.169	4638	2437	0.400	2.872
naif2+S+antSar+29.022	7582	2808	1.269	1.509	5161	3060	0.080	0.764
naif2+S+anfSal+37.189	8174	2834	0.783	0.132	5579	3296	0.030	0.193
naif2+S+alnaSrh+54.070	8595	3108	0.672	-0.345	5566	3572	0.163	0.037
naif2+S+mtwaSl+84.226	7882	2723	1.068	1.276	4559	3510	0.181	-0.446
naif2+S+nSyb+85.705	8224	2822	0.808	0.027	5865	3189	-0.009	0.507
naif2+S+Sdf+92.107	6178	2417	2.387	7.497	3989	2622	0.056	1.069
naif2+S+S\9eyd+93.614	5827	2400	2.176	5.871	4434	1997	0.403	4.926
naif2+S+faSl+105.425	7422	1982	2.232	6.581	5418	3043	-0.587	0.182
naif2+S+Samt+112.657	7293	3408	1.307	0.913	5132	2610	1.016	4.175
naif2+S+mS\9ed+122.247	9484	2829	0.079	-0.693	6755	3754	-0.171	-0.399
naif2+S+mSyr+126.900	8469	2991	0.615	-0.798	6424	2967	0.247	1.127
naif2+S+Sdyd+131.822	6654	2828	1.863	3.704	5173	2148	0.969	6.334
naif2+S+aSwl+140.417	8593	4007	0.425	-0.748	4865	3407	1.059	1.540
naif2+S+S\9eyd+143.275	8704	3736	0.454	-0.769	4607	3702	0.719	0.510
naif2+S+Smt+144.796	6265	2522	2.131	5.119	4909	2064	0.475	5.709
naif2+S+faSl+149.176	7183	2447	1.634	3.294	4408	3168	0.022	-0.239
naif2+S+alnaSrh+158.665	9147	3356	0.436	-0.802	6383	3522	0.291	0.381
naif2+S+brS+166.864	8510	2861	0.633	-0.098	5848	3429	-0.011	0.042
naif2+S+mS\9ed+169.608	8411	2787	0.882	0.280	6310	3103	-0.069	0.857
naif2+S+mSyr+173.762	8047	2972	1.012	0.594	5514	3203	0.137	0.696
naif2+S+baS+179.546	6914	2686	1.414	1.094	5155	2481	0.209	2.582
naif2+S+anfSal+183.218	7916	2771	1.161	0.959	5746	3028	-0.025	1.004
naif2+S+antSar+205.654	9204	2951	0.578	-0.425	6891	3433	-0.110	0.467
naif2+S+mtwaSl+227.748	9474	3282	0.268	-0.205	3448	4173	0.957	-0.112
naif2+S+nSyb+231.896	8860	3233	0.538	-0.372	5148	3861	0.312	-0.308
naif2+S+Samt+233.347	8083	2683	0.875	0.886	6292	2756	0.115	1.365
naif2+S+Sdf+239.799	6507	2354	2.100	6.250	5261	2050	0.354	5.124
naif2+S+Sdyd+248.039	7564	2932	1.524	2.941	4746	3211	0.220	0.629
naif2+S+aSwl+254.371	7290	3320	1.165	1.227	3964	3090	0.698	1.208
naif2+S+S\9eyd+255.766	6393	2322	2.126	5.669	5098	2098	0.131	4.530
naif2+S+faSl+265.086	7056	3067	1.378	1.603	4803	2696	0.543	2.378
naif2+S+alnaSrh+273.032	7855	1959	1.498	3.767	6619	2490	-0.811	2.416
naif2+S+anfSal+274.449	7826	2428	1.317	2.039	5503	3205	-0.275	0.127
naif2+S+baS+275.824	7274	2252	1.374	2.577	5996	2258	-0.057	2.837
naif2+S+Sdf+288.053	5335	1647	4.214	22.414	4622	1535	-0.569	9.872
naif2+S+mS\9ed+290.849	8832	2426	0.659	0.449	6746	3323	-0.486	0.292
naif2+S+Samt+314.230	7232	2150	1.597	3.942	5661	2599	-0.482	1.569
naif2+S+Smt+324.301	7116	2703	1.458	2.752	5031	2737	0.141	1.565
naif2+S+antSar+335.902	8126	2635	1.125	0.809	4871	3642	0.034	-0.598
naif2+S+mSyr+337.338	9480	2817	0.436	-0.551	7400	3366	-0.236	0.498
naif2+S+brS+340.089	9052	3698	0.086	-1.211	4449	3883	0.760	0.101
naif2+S+Sdyd+346.483	7796	2706	1.444	1.743	6225	2580	0.138	2.997
