abu+aa+awTan+44.103	45.00	538.00	14.00	1153.00	-36.00	2579.33	-45.20	501.00	77.20	1350.00	-22.60	2582.50	33.50	404.67	-35.00	1515.67	118.00	2537.00
abu+aa+alan+48.498	0.00	492.33	-14.00	1454.00	62.50	2585.00	-25.20	464.00	33.70	1470.75	-26.50	2658.75	24.00	402.67	-23.00	1552.33	87.00	2617.67
abu+aa+alnaSrh+53.453	63.50	497.00	-13.50	1383.67	158.00	2675.00	-33.60	510.50	-13.40	1316.50	-6.40	2719.50	47.00	400.33	-14.00	1334.33	18.50	2702.67
abu+aa+n\D-afh+57.170	32.50	472.33	30.50	1056.33	7.50	2393.00	-7.30	506.75	78.60	1214.00	18.20	2398.50	-82.50	553.67	-223.00	1469.67	-79.00	2548.67
abu+uu+zhwr+59.064	0.00	346.33	1.50	877.67	-39.00	2404.33	20.30	375.75	154.00	1111.50	-9.00	2349.00	-60.50	455.67	-153.00	1511.33	-42.00	2433.33
abu+aa+anfSal+62.760	42.00	472.00	-19.50	1248.00	9.00	2332.00	-25.50	485.25	29.90	1300.75	29.90	2374.25	24.00	417.00	26.00	1357.00	-51.00	2445.00
abu+aa+ant\D-am+64.464	29.50	484.00	29.50	1194.67	96.50	2520.33	-21.10	480.75	5.00	1241.50	-101.30	2576.25	23.00	415.00	-84.50	1279.00	-83.00	2332.00
abu+uu+fDwl+65.957	5.50	382.67	2.50	900.33	19.50	2545.00	-16.90	374.75	135.80	1060.50	-41.20	2506.00	21.50	331.67	-79.00	1403.67	22.50	2445.00
abu+aa+msa\9edh+67.624	50.50	412.33	17.50	1430.33	-34.50	2493.67	22.40	512.00	-14.30	1422.75	4.50	2341.75	-18.00	571.67	4.50	1390.00	18.00	2319.00
abu+uu+awtwbys+70.714	-25.00	379.33	41.00	1290.67	9.00	2465.67	-15.50	338.75	10.10	1380.75	27.50	2487.25	11.00	297.00	-6.00	1423.67	-34.00	2592.33
abu+uu+awtwbys+70.890	1.50	351.33	-15.00	1381.67	-24.50	2408.67	-11.30	325.75	-7.60	1335.00	-9.30	2356.25	15.50	295.67	30.00	1314.67	40.00	2305.00
abu+ii+awtwbys+71.016	12.00	301.33	98.50	1971.67	87.50	2322.00	-1.30	314.25	-64.60	1954.50	10.10	2452.25	1.50	315.00	-67.50	1884.33	-72.50	2563.67
abu+ii+rtyb+78.673	7.50	310.00	25.50	2128.00	27.00	2664.33	-0.60	319.50	-139.90	1947.25	-103.60	2495.50	25.00	312.00	55.50	1606.00	3.50	2267.00
abu+aa+Samt+87.188	47.50	541.00	-8.00	1043.00	30.00	2538.00	-48.50	526.25	13.80	1065.00	3.00	2585.00	31.50	407.00	-47.00	1124.33	81.50	2581.00
abu+aa+Tab\9e+88.554	30.50	547.00	27.50	1129.67	18.00	2632.33	-41.20	532.00	-32.70	1110.75	-47.50	2544.25	27.00	418.33	-24.50	1046.33	-36.00	2472.33
abu+aa+balTa\?grh+90.782	25.50	478.00	45.50	1092.00	8.00	2580.67	12.10	532.75	32.30	1202.75	-8.30	2587.25	6.50	540.67	-28.50	1308.33	9.00	2558.67
abu+aa+tab+92.214	63.00	513.33	-34.00	1480.00	-17.50	2498.33	-34.50	545.25	-33.20	1385.00	-14.70	2438.25	34.50	437.33	34.50	1272.67	-32.00	2404.67
abu+aa+ratb+94.542	3.00	524.67	5.00	1229.00	-57.50	2511.33	-40.20	457.50	10.00	1306.00	-10.40	2381.50	-19.00	384.00	2.00	1343.00	-43.00	2410.33
abu+ii+thmymh+101.131	12.00	353.67	135.00	1898.67	36.50	2472.67	-3.40	356.50	-88.70	1954.75	-57.70	2455.75	16.00	355.67	92.00	1691.67	49.00	2289.00
abu+ii+thmymh+107.395	-3.50	349.33	-18.50	2207.00	13.50	2573.33	8.60	353.00	-73.60	2124.50	-15.20	2563.00	1.00	368.00	105.50	1885.67	36.50	2488.67
abu+aa+raTy+120.068	24.50	522.00	22.50	1098.00	18.50	2417.33	-23.10	512.25	-13.80	1116.50	1.00	2460.50	-25.00	465.67	4.00	1082.67	10.00	2463.67
abu+ii+raTy+120.314	-3.00	359.00	174.00	1762.33	27.00	2491.67	-7.30	329.75	60.40	2124.00	22.60	2577.00	-2.50	313.33	-71.00	2276.33	-75.50	2706.33
abu+ii+hy+123.934	-3.00	324.67	32.00	2202.00	35.00	2681.67	-2.00	313.50	-10.10	2256.75	9.40	2752.00	-4.50	316.67	42.00	2176.00	12.00	2735.33
abu+aa+rDa\?g+125.408	18.50	456.00	11.00	1001.33	41.50	2698.00	5.40	508.50	23.20	1065.50	-41.50	2658.25	7.00	509.00	-22.00	1101.00	17.50	2580.33
abu+ii+rTyb+126.780	2.50	329.00	187.50	1756.67	20.00	2555.33	-2.10	328.75	-70.90	1909.25	-40.30	2534.75	18.50	308.00	79.00	1695.67	3.00	2421.33
abu+uu+stwr+132.796	5.50	354.00	-131.00	1276.33	-37.50	2339.67	-3.20	360.00	80.80	1202.00	12.70	2294.75	-63.50	461.67	-127.50	1480.67	-32.00	2400.67
abu+ii+sdyd+134.559	4.00	314.00	87.50	1995.33	47.00	2532.33	-1.60	311.50	-8.00	2135.50	-17.30	2588.75	2.50	303.67	35.50	2063.67	28.50	2520.00
abu+aa+maDn+135.839	22.50	455.67	19.00	1145.33	24.50	2732.00	-28.30	466.75	-30.10	1093.25	-37.10	2585.75	34.50	380.67	-1.00	1074.33	-10.50	2558.33
abu+aa+maD+136.915	13.00	498.00	57.00	1003.67	-11.50	2634.00	-40.50	465.25	-15.50	1064.75	-12.30	2571.25	30.50	351.00	23.00	1009.00	-16.00	2560.33
abu+ii+nDyf+140.332	-12.00	348.00	197.50	1693.67	-4.00	2602.33	4.00	338.00	-39.10	1945.25	-4.70	2594.25	-11.50	378.33	15.00	1847.67	-51.50	2596.67
abu+ii+nDyf+144.533	16.00	344.00	191.50	1746.00	-3.00	2613.00	19.20	393.50	-51.00	1887.50	0.50	2573.75	-156.50	616.00	-146.50	1909.00	-136.50	2697.00
abu+uu+hw+156.684	0.50	356.00	-32.50	902.00	3.50	2497.00	3.00	360.00	16.10	867.25	14.70	2532.25	-4.00	371.67	10.00	908.00	9.00	2553.00
abu+ii+w\D-yfh+158.181	-13.50	355.33	219.00	1445.33	-25.00	2539.67	-6.40	323.50	64.90	2019.25	40.80	2606.00	7.00	321.00	117.50	2068.33	-67.50	2639.67
abu+ii+mTyh+159.873	-6.50	324.67	225.00	1864.33	40.00	2604.00	2.20	304.50	-0.30	2196.25	9.00	2742.00	-13.50	321.67	75.00	2121.00	52.00	2710.33
abu+aa+bsaTh+161.904	50.00	492.00	11.00	1208.00	8.50	2410.00	-27.80	523.00	-18.40	1217.00	-11.20	2402.00	6.00	459.00	9.50	1174.67	-2.50	2386.67
abu+aa+mtwaSl+170.141	21.00	482.00	35.00	1066.67	-12.50	2494.33	-4.50	497.75	64.70	1187.25	62.50	2531.25	-73.00	498.33	-246.50	1427.67	-181.00	2702.67
abu+uu+sTwr+171.595	1.50	363.00	-32.50	976.67	-5.00	2525.67	-2.20	370.50	114.40	1090.00	-24.70	2490.75	17.00	368.33	-100.50	1372.33	-20.00	2436.67
abu+uu+mSwl+175.313	4.50	348.67	16.00	885.33	-39.00	2658.67	-12.70	355.75	111.80	1025.00	-17.50	2541.75	23.50	313.33	-56.50	1348.33	31.00	2474.00
abu+uu+smwT+195.517	3.00	393.67	-266.00	1128.33	-28.00	2824.00	-12.40	370.00	127.10	1060.75	23.30	2853.75	-6.00	344.33	-173.50	1179.67	2.00	2839.67
abu+ii+tlyfwn+205.247	11.50	343.33	15.50	1602.67	30.00	2462.33	-5.80	356.50	41.00	1701.00	-29.40	2474.50	21.00	322.00	141.50	1806.67	2.50	2445.67
abu+uu+fTwr+206.268	12.50	396.00	-2.50	970.00	3.50	2536.00	0.50	429.25	124.50	1171.75	-25.90	2473.75	24.50	418.33	-162.00	1488.67	-10.50	2462.33
abu+aa+naDr+207.491	22.50	518.33	-47.00	1246.33	-33.00	2646.67	-29.70	480.75	-14.70	1219.75	-18.50	2557.25	8.00	418.67	8.00	1181.33	-16.00	2511.00
abu+uu+fTwr+228.519	3.00	358.33	-13.00	966.00	-25.00	2515.67	22.60	406.00	140.60	1140.00	-20.30	2400.75	-79.00	500.00	-232.50	1498.33	-181.00	2377.33
abu+ii+n\D-yf+238.516	4.50	358.67	182.50	1717.00	15.00	2581.33	-14.90	336.25	-16.20	1931.00	-24.60	2568.00	-101.50	485.67	-75.00	1958.67	-116.00	2636.00
abu+aa+mwa\D-bh+243.333	24.00	540.67	15.50	1148.67	-7.00	2511.00	-33.70	513.25	-23.00	1124.50	-20.80	2485.50	14.00	438.67	6.50	1073.00	-5.50	2434.00
abu+aa+Tab+245.548	35.00	551.00	25.50	1114.33	-1.50	2437.67	-38.10	515.25	-48.40	1115.00	-14.20	2381.00	0.50	430.00	74.00	1024.00	-29.00	2354.00
abu+aa+Tabh+248.615	28.50	522.67	18.50	1043.67	-2.00	2537.00	-18.90	508.25	-1.60	1064.00	-21.20	2510.50	-0.50	470.33	-8.50	1089.33	17.50	2457.33
abu+uu+Smwt+256.195	14.00	378.67	-287.00	1178.33	41.00	2665.67	-7.50	359.75	69.40	960.00	-29.70	2632.25	5.00	356.33	-59.50	1109.33	49.00	2574.33
abu+aa+mna\D-r+263.887	17.50	481.00	-55.50	1242.67	-113.50	2520.00	-23.60	467.50	-27.30	1120.25	3.20	2422.50	11.50	413.00	-6.00	1079.00	-32.00	2415.67
abu+uu+wDw\?g+267.229	1.50	355.33	-28.50	935.00	22.00	2555.67	2.40	363.50	3.60	863.50	29.60	2653.00	-25.00	364.67	-187.50	887.67	3.00	2675.00
abu+ii+wsyTh+268.392	5.50	355.00	10.00	1893.33	-5.00	2427.33	-2.60	352.50	-58.90	1780.75	-3.30	2414.25	-4.50	352.00	-11.00	1696.00	48.50	2429.33
abu+aa+faSl+269.728	25.00	546.67	0.00	1091.00	41.50	2396.67	-15.20	542.50	68.10	1182.75	31.40	2520.50	-43.00	497.67	-170.00	1309.33	-59.50	2581.33
abu+ii+w\D-y\?g+271.917	-1.50	330.33	218.00	1603.00	-9.50	2587.67	1.60	325.50	75.80	2101.50	31.70	2651.75	15.50	326.33	55.50	2119.00	82.50	2731.00
abu+ii+wDyh+280.107	1.00	329.33	191.00	1737.00	7.00	2428.67	9.00	346.50	-1.90	2029.25	-2.70	2447.25	-1.50	368.00	53.50	1949.00	-27.00	2484.33
abu+uu+aSwl+286.446	20.50	351.33	-95.50	1014.33	0.00	2597.00	-11.80	369.00	125.50	1072.25	-44.60	2541.50	23.50	346.67	48.50	1348.67	-10.00	2434.33
abu+aa+fTam+288.000	29.50	528.67	49.00	1193.33	36.50	2564.33	-36.30	506.75	-1.40	1228.00	-68.30	2509.75	30.50	422.33	-64.00	1242.33	-73.50	2334.00
abu+aa+alfDa\?g+289.654	37.00	475.00	37.50	1062.67	17.00	2564.33	-9.80	513.00	15.00	1177.50	-9.00	2558.00	16.50	487.00	7.00	1196.33	10.50	2533.67
abu+aa+ktab+290.796	43.50	468.33	-45.00	1519.00	-19.00	2466.67	-37.80	491.50	-69.10	1332.75	-30.30	2407.75	35.00	393.00	44.00	1164.67	7.00	2378.67
abu+aa+maDr+291.883	24.00	501.33	5.00	1222.67	-39.00	2676.67	-24.90	504.25	-31.90	1221.75	4.90	2567.75	18.50	456.00	44.50	1150.67	-0.50	2581.67
abu+aa+naDl+297.715	27.50	475.67	-23.50	1295.33	-34.50	2793.67	-33.80	461.50	-36.60	1188.50	-49.20	2556.50	-12.00	375.67	-4.50	1124.00	-58.50	2470.00
abu+aa+naDl+298.914	16.00	490.33	-2.50	1189.67	95.50	2356.00	-33.60	464.00	-31.90	1115.25	-36.40	2427.00	29.50	384.33	76.00	1096.33	-73.00	2419.00
abu+aa+naDl+299.441	29.00	469.00	-10.00	1266.33	31.50	2381.67	-24.00	459.50	-34.10	1194.25	-12.40	2541.50	1.00	401.33	25.00	1133.00	1.50	2502.00
abu+aa+naDl+301.100	23.00	461.33	-21.50	1224.33	37.00	2620.00	-35.70	435.25	-37.50	1043.25	21.70	2683.75	2.50	358.67	-3.50	1106.00	-29.00	2697.33
abu+aa+at\9eab+302.727	-16.00	597.67	4.50	1315.33	-8.50	2243.00	-56.30	503.75	-31.50	1244.25	-6.40	2206.00	31.50	375.67	13.00	1156.00	-46.00	2226.33
abu+ii+mSyr+304.419	-9.00	331.00	212.00	1907.00	82.00	2580.00	17.90	352.25	-86.00	1972.00	-36.50	2585.75	22.00	387.33	-76.50	1799.33	-153.50	2497.33
abu+ii+mSyr+308.024	11.00	364.33	143.50	1680.67	15.00	2501.67	-2.30	370.75	-41.90	1816.25	-32.50	2458.75	-1.50	365.67	26.50	1715.00	3.50	2369.33
abu+ii+mSyr+314.639	7.00	338.00	43.50	1594.00	1.50	2363.00	2.00	363.00	-19.90	1585.75	9.80	2333.50	8.00	361.33	22.00	1531.00	-47.50	2380.00
abu+aa+rTanh+319.923	33.00	526.67	74.00	1153.67	0.00	2488.00	-39.70	486.25	70.90	1372.75	18.00	2468.00	27.50	399.00	-62.50	1498.67	14.50	2532.00
abu+ii+mTyr+321.044	0.00	346.33	185.50	1715.33	10.50	2481.67	2.90	358.75	-46.80	1815.00	13.10	2489.25	-25.00	410.00	-136.50	1771.67	-145.00	2570.00
abu+ii+w\D-yf+330.965	-11.50	329.33	178.00	1818.00	53.50	2515.00	-3.00	312.50	-36.00	2026.50	-2.50	2606.25	-94.50	484.33	-57.00	2010.67	-122.50	2701.33
abu+aa+mlabs+332.793	32.50	508.33	-11.00	1410.33	-3.50	2382.67	-36.30	503.75	-39.10	1340.75	-24.20	2358.50	40.50	392.00	31.00	1249.67	18.00	2278.33
abu+aa+tab\9e+334.101	72.00	513.00	-45.00	1546.00	-51.50	2558.00	-43.40	529.50	-57.80	1384.50	-40.90	2408.75	21.50	428.67	15.00	1291.33	-32.00	2366.67
abu+aa+mwaTn+335.404	25.50	496.67	61.00	1041.33	-4.00	2458.33	-13.90	499.75	-13.70	1139.25	14.60	2509.50	-16.00	467.00	12.50	1095.00	-7.50	2557.33
abu+ii+h\D-ym+336.828	-5.50	334.33	263.00	1798.00	52.50	2539.67	-5.90	330.75	-122.60	2093.00	-39.70	2636.25	13.50	317.67	-36.50	1744.67	30.00	2555.00
abu+uu+mh\D-wm+340.265	13.00	373.00	-24.50	1038.67	56.50	2741.00	-13.70	382.25	31.20	1121.00	-77.80	2648.00	19.00	335.67	-43.50	1178.00	37.50	2493.33
abu+ii+s\9eyd+345.927	-31.00	386.67	114.50	2004.67	84.00	2551.00	-26.20	300.00	-101.60	2035.00	-17.60	2584.50	18.50	252.00	46.50	1779.33	-33.50	2518.33
abu+ii+nSyb+347.153	-2.00	325.33	220.50	1755.33	15.00	2644.67	-13.10	315.75	-100.90	1866.75	-48.40	2570.50	24.50	285.33	-62.50	1605.67	-101.00	2460.33
abu+aa+antSar+348.420	46.00	534.67	-12.50	1228.67	-23.00	2449.67	-5.30	571.25	55.30	1288.25	22.80	2443.50	-45.50	549.33	-133.00	1423.00	-34.00	2508.00
abu+ii+fTyrh+349.738	-3.00	335.33	138.00	1777.00	6.50	2559.33	17.30	363.25	-109.50	1778.25	-14.90	2512.75	-2.50	413.33	42.00	1492.00	-3.50	2462.67
abu+aa+wsTy+353.406	31.00	523.33	39.50	1084.00	-1.50	2587.00	-47.10	496.75	28.10	1145.25	40.20	2664.00	45.00	396.00	-9.50	1222.00	-40.50	2735.67
